r	mu	stdev	T	lambda	t1	c1	c_hat1	t2	c2	c_hat2	t3	c3	c_hat3	b3	b_hat3	b2	b_hat2	b1	b_hat1	V_M	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	TotalTime
2	1	0.05	0.1	0.02	0	1	1	0.05	1.02	0.98	0.1	1.04	0.96	-0.002365112305	0.002365112305	-0.006637573242	0.009231567383	0.00358581543	0.00358581543	0.9613586641	0.9664108988	0.9614960223	0.003401670538	0.002432417378	0.0009692531597	7.166804819
2	1	0.05	0.1	0.04	0	1	1	0.05	1.04	0.96	0.1	1.08	0.92	-0.004806518555	0.004806518555	-0.007247924805	0.00862121582	0.001907348633	0.001907348633	0.9610146476	0.979694023	0.9611106857	0.003408131019	0.002453013583	0.0009551174361	7.306924836
2	1	0.05	0.1	0.06	0	1	1	0.05	1.06	0.94	0.1	1.12	0.88	-0.007095336914	0.007095336914	-0.007858276367	0.00862121582	0.00129699707	0.00129699707	0.9607367584	0.9838271909	0.9608012972	0.003418980558	0.002474073896	0.0009449066616	7.160426841
2	1	0.05	0.1	0.08	0	1	1	0.05	1.08	0.92	0.1	1.16	0.84	-0.009536743164	0.009536743164	-0.00862121582	0.008926391602	0.0009918212891	0.0009918212891	0.9605144212	0.9963161179	0.9605440615	0.003427185478	0.002492173709	0.000935011769	7.170352048
2	1	0.05	0.1	0.1	0	1	1	0.05	1.1	0.9	0.1	1.2	0.8	-0.01197814941	0.01197814941	-0.008926391602	0.009231567383	0.0006866455078	0.0006866455078	0.9603388029	1.021030585	0.9603372315	0.003430227094	0.002503347059	0.000926880035	7.360220843
2	1	0.05	0.1	0.12	0	1	1	0.05	1.12	0.88	0.1	1.24	0.76	-0.01441955566	0.01441955566	-0.009689331055	0.009841918945	0.0003814697266	0.0003814697266	0.9602005516	1.024801002	0.9601773905	0.003431141443	0.002512851039	0.0009182904036	7.193070223
2	1	0.05	0.1	0.14	0	1	1	0.05	1.14	0.86	0.1	1.28	0.72	-0.0170135498	0.0170135498	-0.01029968262	0.0106048584	0.0002288818359	0.0002288818359	0.9600920007	1.043118329	0.9600908882	0.003435613488	0.002523782344	0.0009118311443	7.205251772
2	1	0.05	0.1	0.16	0	1	1	0.05	1.16	0.84	0.1	1.32	0.68	-0.01960754395	0.01960754395	-0.01121520996	0.01136779785	0.0003814697266	0.0003814697266	0.9600068498	1.064508803	0.9599690985	0.003453463457	0.002540174069	0.0009132893883	7.334059178
2	1	0.05	0.1	0.18	0	1	1	0.05	1.18	0.82	0.1	1.36	0.64	-0.02220153809	0.02220153809	-0.0121307373	0.0122833252	0.0003814697266	0.0003814697266	0.9599416022	1.088916809	0.9598805614	0.003465496086	0.002552928565	0.0009125675215	7.249280359
2	1	0.05	0.1	0.2	0	1	1	0.05	1.2	0.8	0.1	1.4	0.6	-0.02494812012	0.02494812012	-0.01319885254	0.01319885254	7.629394531e-05	7.629394531e-05	0.9598926571	1.117371883	0.9598410094	0.003450322119	0.002547528476	0.0009027936434	7.273122782
2	1	0.05	0.2	0.02	0	1	1	0.1	1.02	0.98	0.2	1.04	0.96	-0.002212524414	0.002212524414	-0.008773803711	0.01258850098	0.006484985352	0.006484985352	0.9633118337	0.9604704119	0.9634854635	0.00332610061	0.002284730427	0.001041370183	7.325234472
2	1	0.05	0.2	0.04	0	1	1	0.1	1.04	0.96	0.2	1.08	0.92	-0.004501342773	0.004501342773	-0.01106262207	0.01091003418	0.002670288086	0.002670288086	0.9627793871	0.9672608259	0.9629111507	0.003322386982	0.002308377679	0.001014009303	7.150489036
2	1	0.05	0.2	0.06	0	1	1	0.1	1.06	0.94	0.2	1.12	0.88	-0.006790161133	0.006790161133	-0.01045227051	0.01167297363	0.001754760742	0.001754760742	0.9623068177	0.9786153282	0.9624355549	0.003335508061	0.002338069901	0.0009974381595	7.2124705
2	1	0.05	0.2	0.08	0	1	1	0.1	1.08	0.92	0.2	1.16	0.84	-0.009078979492	0.009078979492	-0.01121520996	0.01197814941	0.001602172852	0.001602172852	0.9618967172	0.982258911	0.9619624144	0.003353569035	0.002369686769	0.0009838822662	7.355352499
2	1	0.05	0.2	0.1	0	1	1	0.1	1.1	0.9	0.2	1.2	0.8	-0.01136779785	0.01136779785	-0.01136779785	0.01197814941	0.0002288818359	0.0002288818359	0.9615496473	0.988901424	0.9616010415	0.003338769811	0.002379137453	0.0009596323578	7.168447602
2	1	0.05	0.2	0.12	0	1	1	0.1	1.12	0.88	0.2	1.24	0.76	-0.01365661621	0.01365661621	-0.01167297363	0.01243591309	0.0005340576172	0.0005340576172	0.9612473416	0.996291358	0.9612322646	0.003363779035	0.002408398751	0.0009553802842	7.174930294
