r	mu	stdev	T	lambda	t1	c1	k1	t2	c2	k2	t3	c3	k3	b3	d3	b2	d2	b1	d1	V_M	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	TotalTime
2	1	0.05	0.1	0.02	0	1	0.1	0.05	1.02	0.1	0.1	1.04	0.1	-0.002365112305	0.1411	-0.00129699707	0.1486	7.629394531e-05	0.151	0.8597530326	95.80831976	0.8598021336	0.003461219598	0.002565790244	0.0008954293552	100.9911688
2	1	0.05	0.1	0.04	0	1	0.1	0.05	1.04	0.1	0.1	1.08	0.1	-0.004806518555	0.1448	-0.002517700195	0.1457	7.629394531e-05	0.1448	0.8597530326	95.56768416	0.8597608652	0.003465435435	0.002568542107	0.0008968933282	100.5135907
2	1	0.05	0.1	0.06	0	1	0.1	0.05	1.06	0.1	0.1	1.12	0.1	-0.007095336914	0.149	-0.00373840332	0.1456	7.629394531e-05	0.1423	0.8597530326	96.49409523	0.8597336189	0.003469004409	0.002571180706	0.0008978237035	101.4781797
2	1	0.05	0.1	0.08	0	1	0.1	0.05	1.08	0.1	0.1	1.16	0.1	-0.009536743164	0.1536	-0.004959106445	0.1466	7.629394531e-05	0.1411	0.8597530326	97.8279312	0.8597623251	0.003464155508	0.002567405394	0.0008967501136	102.8130504
2	1	0.05	0.1	0.1	0	1	0.1	0.05	1.1	0.1	0.1	1.2	0.1	-0.01197814941	0.1588	-0.00617980957	0.1481	7.629394531e-05	0.1405	0.8597530326	99.26743904	0.8597878977	0.003463755626	0.00256782186	0.0008959337659	104.1622726
2	1	0.05	0.1	0.12	0	1	0.1	0.05	1.12	0.1	0.1	1.24	0.1	-0.01441955566	0.1647	-0.007400512695	0.15	7.629394531e-05	0.1402	0.8597530326	100.681913	0.8597806382	0.003465364721	0.002569069361	0.0008962953601	105.623119
2	1	0.05	0.1	0.14	0	1	0.1	0.05	1.14	0.1	0.1	1.28	0.1	-0.0170135498	0.1712	-0.00862121582	0.1522	7.629394531e-05	0.14	0.8597530326	101.9088965	0.8597852733	0.003463290964	0.002567308748	0.0008959822163	106.8354108
2	1	0.05	0.1	0.16	0	1	0.1	0.05	1.16	0.1	0.1	1.32	0.1	-0.01960754395	0.1786	-0.009841918945	0.1546	7.629394531e-05	0.1399	0.8597530326	102.9267882	0.8597946635	0.003461963211	0.002566340451	0.0008956227599	107.8904423
2	1	0.05	0.1	0.18	0	1	0.1	0.05	1.18	0.1	0.1	1.36	0.1	-0.02220153809	0.1871	-0.01106262207	0.1571	7.629394531e-05	0.1399	0.8597530326	103.7110605	0.8597884053	0.003464941911	0.002568871614	0.0008960702979	108.6492744
2	1	0.05	0.1	0.2	0	1	0.1	0.05	1.2	0.1	0.1	1.4	0.1	-0.02494812012	0.1967	-0.0122833252	0.1598	7.629394531e-05	0.1399	0.8597530326	104.2590615	0.8597772762	0.003467023414	0.002570513099	0.0008965103153	109.4722138
2	1	0.05	0.2	0.02	0	1	0.1	0.1	1.02	0.1	0.2	1.04	0.1	-0.002212524414	0.1391	-0.00114440918	0.1577	7.629394531e-05	0.1644	0.8597541083	94.22025043	0.8597121663	0.003480004274	0.002580405988	0.0008995982865	99.20073653
2	1	0.05	0.2	0.04	0	1	0.1	0.1	1.04	0.1	0.2	1.08	0.1	-0.004501342773	0.1428	-0.002365112305	0.1498	7.629394531e-05	0.1516	0.8597541083	92.06084646	0.8597354706	0.003477387259	0.002578640624	0.0008987466356	96.98806829
2	1	0.05	0.2	0.06	0	1	0.1	0.1	1.06	0.1	0.2	1.12	0.1	-0.006790161133	0.1469	-0.00358581543	0.1478	7.629394531e-05	0.1466	0.8597541083	92.27295314	0.8597676774	0.003471073237	0.002573922878	0.0008971503586	97.44643186
2	1	0.05	0.2	0.08	0	1	0.1	0.1	1.08	0.1	0.2	1.16	0.1	-0.009078979492	0.1516	-0.004806518555	0.1475	7.629394531e-05	0.1438	0.8597541083	93.24889821	0.8596905613	0.00348005065	0.002579953128	0.0009000975221	98.23127854
2	1	0.05	0.2	0.1	0	1	0.1	0.1	1.1	0.1	0.2	1.2	0.1	-0.01136779785	0.1568	-0.00602722168	0.1483	7.629394531e-05	0.1422	0.8597541083	94.65140809	0.8597574684	0.003474819067	0.002577077653	0.0008977414143	99.56992045
2	1	0.05	0.2	0.12	0	1	0.1	0.1	1.12	0.1	0.2	1.24	0.1	-0.01365661621	0.1627	-0.007095336914	0.1498	7.629394531e-05	0.1413	0.8597541083	96.45724029	0.8597394151	0.003475281192	0.002576854103	0.0008984270896	101.3820122
2	1	0.05	0.2	0.14	0	1	0.1	0.1	1.14	0.1	0.2	1.28	0.1	-0.01609802246	0.1693	-0.008316040039	0.1516	7.629394531e-05	0.1407	0.8597541083	97.89952475	0.859786667	0.003475032658	0.002577905523	0.0008971271348	103.0741128
2	1	0.05	0.2	0.16	0	1	0.1	0.1	1.16	0.1	0.2	1.32	0.1	-0.01838684082	0.1769	-0.009536743164	0.1538	7.629394531e-05	0.1403	0.8597541083	99.46695882	0.859761022	0.003476323017	0.002578473119	0.0008978498984	104.6431022
