r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.05	0.1	0.02	0	1	0.05	1.02	0.1	1.04	-0.002365112305	-0.01197814941	-0.01502990723	0.9610815931	1	0	0.960105772	1.447239335	0.9612325888	0.003380599384	0.002441692521	0.0009389068638	0.959775679	0.003459737692	0.00256588531	0.0008938523815	6.811706096
2	1	0.05	0.1	0.04	0	1	0.05	1.04	0.1	1.08	-0.004806518555	-0.009841918945	-0.009994506836	0.9606967718	1	0	0.960105772	1.28741619	0.9608696492	0.003383416559	0.002463886351	0.0009195302075	0.9598254224	0.003454955703	0.002562718374	0.0008922373295	6.568510696
2	1	0.05	0.1	0.06	0	1	0.05	1.06	0.1	1.12	-0.007095336914	-0.009078979492	-0.007095336914	0.9604385071	1	0	0.960105772	1.347166153	0.9605035571	0.003410164441	0.002495375644	0.0009147887963	0.959733945	0.003466137674	0.002570709638	0.0008954280355	6.627854593
2	1	0.05	0.1	0.08	0	1	0.05	1.08	0.1	1.16	-0.009536743164	-0.008926391602	-0.005264282227	0.9602552817	1	0	0.960105772	1.38294592	0.9603760267	0.003405663147	0.002501598553	0.0009040645948	0.9598193558	0.003454389945	0.002562183252	0.0008922066929	6.875115948
2	1	0.05	0.1	0.1	0	1	0.05	1.1	0.1	1.2	-0.01197814941	-0.009231567383	-0.003890991211	0.9601220889	1	0	0.960105772	1.301177755	0.960192328	0.003421745438	0.002519468498	0.0009022769395	0.9597751421	0.003460594832	0.002566452439	0.0008941423928	6.493811224
2	1	0.05	0.1	0.12	0	1	0.05	1.12	0.1	1.24	-0.01441955566	-0.009689331055	-0.002975463867	0.9600241061	1	0	0.960105772	1.297569441	0.9601157547	0.003421433627	0.002524172345	0.0008972612821	0.959812258	0.00345398052	0.002561628205	0.0008923523153	6.59282989
2	1	0.05	0.1	0.14	0	1	0.05	1.14	0.1	1.28	-0.0170135498	-0.01029968262	-0.002212524414	0.9599516815	1	0	0.960105772	1.364407523	0.9600485206	0.003431412157	0.002535584916	0.0008958272406	0.9598261815	0.003455849564	0.002563769662	0.0008920799023	6.809154843
2	1	0.05	0.1	0.16	0	1	0.05	1.16	0.1	1.32	-0.01960754395	-0.01121520996	-0.001602172852	0.9598979679	1	0	0.960105772	1.388505326	0.9599668936	0.00343964582	0.002542996101	0.000896649719	0.9598005837	0.003455560033	0.002562661367	0.0008928986651	6.605656361
2	1	0.05	0.1	0.18	0	1	0.05	1.18	0.1	1.36	-0.02220153809	-0.0121307373	-0.00129699707	0.9598583644	1	0	0.960105772	1.385766877	0.9598860412	0.003443930101	0.002549529889	0.0008944002127	0.9597674111	0.003462397008	0.002568078351	0.0008943186577	6.642346928
2	1	0.05	0.1	0.2	0	1	0.05	1.2	0.1	1.4	-0.02494812012	-0.01304626465	-0.0009918212891	0.9598291473	1	0	0.960105772	1.31044998	0.9598683826	0.003443190028	0.002549874442	0.0008933155859	0.9597799927	0.003458295528	0.002564551096	0.0008937444321	6.485481907
2	1	0.05	0.2	0.02	0	1	0.1	1.02	0.2	1.04	-0.002212524414	-0.01930236816	-0.0252532959	0.962818932	1	0	0.960105772	1.570086208	0.9630057134	0.003302004905	0.002306631019	0.0009953738864	0.9597402495	0.003471475982	0.00257566351	0.0008958124723	6.774769162
2	1	0.05	0.2	0.04	0	1	0.1	1.04	0.2	1.08	-0.004501342773	-0.0154876709	-0.01792907715	0.962137879	1	0	0.960105772	1.313890991	0.9622864547	0.003319422687	0.002353516922	0.000965905765	0.9597359852	0.003471208983	0.002575090051	0.0008961189311	6.517592822
2	1	0.05	0.2	0.06	0	1	0.1	1.06	0.2	1.12	-0.006790161133	-0.0138092041	-0.01365661621	0.9616418865	1	0	0.960105772	1.325436883	0.9617496255	0.003338595997	0.002392373477	0.0009462225197	0.9597217574	0.003473279431	0.002576782594	0.0008964968365	6.546961447
2	1	0.05	0.2	0.08	0	1	0.1	1.08	0.2	1.16	-0.009078979492	-0.01289367676	-0.01075744629	0.9612616518	1	0	0.960105772	1.299464129	0.9613391978	0.003351403421	0.002419598208	0.0009318052132	0.9597224676	0.003471040609	0.002574609754	0.0008964308551	6.74947079
2	1	0.05	0.2	0.1	0	1	0.1	1.1	0.2	1.2	-0.01136779785	-0.01258850098	-0.00862121582	0.9609626933	1	0	0.960105772	1.387894053	0.9610265375	0.003369159106	0.002446868356	0.0009222907501	0.9597204833	0.003473286224	0.002576617752	0.0008966684721	6.554158581
2	1	0.05	0.2	0.12	0	1	0.1	1.12	0.2	1.24	-0.01365661621	-0.01258850098	-0.006942749023	0.960724229	1	0	0.960105772	1.348773579	0.9607642333	0.003381533368	0.002466117303	0.0009154160651	0.9597128356	0.003470963281	0.00257435391	0.0008966093709	6.553709624
2	1	0.05	0.2	0.14	0	1	0.1	1.14	0.2	1.28	-0.01609802246	-0.01274108887	-0.005722045898	0.9605325392	1	0	0.960105772	1.345108014	0.9606183686	0.00338221048	0.002476971969	0.0009052385109	0.9597914847	0.003464912687	0.00257092552	0.0008939871676	6.828170624
2	1	0.05	0.2	0.16	0	1	0.1	1.16	0.2	1.32	-0.01838684082	-0.01319885254	-0.004653930664	0.9603775468	1	0	0.960105772	1.322272155	0.9604041533	0.003403754807	0.002498813985	0.0009049408219	0.9597320056	0.003473196335	0.002576740433	0.0008964559013	6.493466452
2	1	0.05	0.2	0.18	0	1	0.1	1.18	0.2	1.36	-0.02098083496	-0.0138092041	-0.00373840332	0.9602520952	1	0	0.960105772	1.355772553	0.9602919225	0.003410295671	0.002509463039	0.0009008326322	0.9597568472	0.003468620305	0.002573392094	0.0008952282108	6.543390833
2	1	0.05	0.2	0.2	0	1	0.1	1.2	0.2	1.4	-0.02342224121	-0.01441955566	-0.003128051758	0.9601505781	1	0	0.960105772	1.406001517	0.9601534253	0.003417904748	0.002518905737	0.0008989990113	0.9597201436	0.003470825439	0.002574236357	0.0008965890816	6.664652368
2	1	0.05	0.3	0.02	0	1	0.15	1.02	0.3	1.04	-0.002059936523	-0.02540588379	-0.03395080566	0.9647655448	1	0	0.960105772	1.570357615	0.9649705753	0.003224331747	0.002169679226	0.001054652521	0.959710641	0.003482142458	0.002584685668	0.00089745679	6.836269377
2	1	0.05	0.3	0.04	0	1	0.15	1.04	0.3	1.08	-0.004196166992	-0.02052307129	-0.02510070801	0.9638230855	1	0	0.960105772	1.380068824	0.9639709314	0.003247782081	0.00223446464	0.001013317441	0.95968253	0.003486843402	0.002588109227	0.0008987341759	6.585576198
2	1	0.05	0.3	0.06	0	1	0.15	1.06	0.3	1.12	-0.006332397461	-0.01808166504	-0.01976013184	0.9631091263	1	0	0.960105772	1.359271729	0.9632278135	0.003266342232	0.002282721552	0.0009836206794	0.9596910505	0.003483005082	0.002584830194	0.0008981748881	6.575303699
2	1	0.05	0.3	0.08	0	1	0.15	1.08	0.3	1.16	-0.00846862793	-0.01670837402	-0.01609802246	0.9625412332	1	0	0.960105772	1.330468046	0.9626376696	0.003279309954	0.002319857054	0.0009594528997	0.9597015274	0.00347993496	0.002582411282	0.0008975236779	6.829349526
2	1	0.05	0.3	0.1	0	1	0.15	1.1	0.3	1.2	-0.0106048584	-0.01594543457	-0.01319885254	0.9620781733	1	0	0.960105772	1.36698569	0.9621340837	0.003307052638	0.002360822379	0.0009462302585	0.9596754384	0.003484396713	0.002585439244	0.0008989574691	6.566031944
2	1	0.05	0.3	0.12	0	1	0.15	1.12	0.3	1.24	-0.01274108887	-0.0154876709	-0.01106262207	0.9616951189	1	0	0.960105772	1.335088296	0.961746032	0.003323051766	0.00238963218	0.0009334195863	0.959687193	0.003483695953	0.002585434505	0.0008982614483	6.535876061
2	1	0.05	0.3	0.14	0	1	0.15	1.14	0.3	1.28	-0.01502990723	-0.01533508301	-0.009231567383	0.9613753603	1	0	0.960105772	1.463070944	0.9614297432	0.003333058564	0.002411736666	0.0009213218974	0.9597157099	0.003477451021	0.002580653924	0.0008967970972	6.914820341
2	1	0.05	0.3	0.16	0	1	0.15	1.16	0.3	1.32	-0.01731872559	-0.01533508301	-0.007858276367	0.9611067239	1	0	0.960105772	1.387225139	0.9611325505	0.003350323874	0.002435829593	0.0009144942804	0.9596982142	0.003481834525	0.002583825965	0.0008980085605	6.60153574
2	1	0.05	0.3	0.18	0	1	0.15	1.18	0.3	1.36	-0.01960754395	-0.01564025879	-0.006637573242	0.9608805442	1	0	0.960105772	1.348923176	0.9609003731	0.00336175913	0.002453485349	0.0009082737807	0.9596991128	0.003479500828	0.002581916495	0.000897584333	6.576633203
2	1	0.05	0.3	0.2	0	1	0.15	1.2	0.3	1.4	-0.0218963623	-0.01594543457	-0.005569458008	0.9606896485	1	0	0.960105772	1.349302752	0.960679073	0.003379019125	0.002473483558	0.0009055355666	0.9596863789	0.00348046248	0.002582531335	0.0008979311449	6.722403335
2	1	0.05	0.4	0.02	0	1	0.2	1.02	0.4	1.04	-0.001907348633	-0.03105163574	-0.04203796387	0.9669182821	1	0	0.960105772	1.307346208	0.9671007999	0.003141299037	0.002030934247	0.00111036479	0.9596434818	0.003491916133	0.002591998136	0.0008999179976	6.533504144
2	1	0.05	0.4	0.04	0	1	0.2	1.04	0.4	1.08	-0.003890991211	-0.0252532959	-0.0318145752	0.9657315424	1	0	0.960105772	1.300491135	0.9658915153	0.003166122986	0.002105119584	0.001061003402	0.9596401862	0.003493164531	0.002592841254	0.0009003232773	6.492699059
