r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.1	0.1	0.02	0	1	0.05	1.02	0.1	1.04	-0.00467300415	-0.02412796021	-0.03004074097	2.520642015	1	0	2.514295356	2.247954273	2.520716751	0.08469079252	0.05983743209	0.02485336041	2.512712294	0.08603014266	0.06280679129	0.0232233514	7.58664766
2	1	0.1	0.1	0.04	0	1	0.05	1.04	0.1	1.08	-0.009441375732	-0.01955032349	-0.01993179321	2.51854742	1	0	2.514295356	2.300601361	2.518588153	0.08471871286	0.0604501873	0.02426852554	2.512890107	0.0859881085	0.06278959484	0.02319851369	7.847211405
2	1	0.1	0.1	0.06	0	1	0.05	1.06	0.1	1.12	-0.01440048218	-0.01802444458	-0.01420974731	2.517134623	1	0	2.514295356	2.264852027	2.516917089	0.08488308729	0.0609555121	0.02392757523	2.512702381	0.08608497812	0.06285225839	0.02323271975	7.58523606
2	1	0.1	0.1	0.08	0	1	0.05	1.08	0.1	1.16	-0.01916885376	-0.01783370972	-0.01039505005	2.516130886	1	0	2.514295356	2.285312883	2.51594786	0.08505368593	0.06135579195	0.02369789399	2.51287295	0.08603091005	0.06282611671	0.02320479336	7.60020985
2	1	0.1	0.1	0.1	0	1	0.05	1.1	0.1	1.2	-0.02412796021	-0.01840591431	-0.007724761963	2.515400148	1	0	2.514295356	2.297256035	2.515142267	0.08517186296	0.06164344606	0.023528417	2.51289042	0.08599853755	0.06280128619	0.02319725139	7.86201765
2	1	0.1	0.1	0.12	0	1	0.05	1.12	0.1	1.24	-0.02889633179	-0.01935958862	-0.00581741333	2.514862359	1	0	2.514295356	2.311968906	2.514456435	0.08543116207	0.06196614974	0.02346501229	2.512791455	0.08607137347	0.06285034199	0.0232210315	7.625053791
2	1	0.1	0.1	0.14	0	1	0.05	1.14	0.1	1.28	-0.0340461731	-0.02069473267	-0.004482269287	2.514464661	1	0	2.514295356	2.322726329	2.514222147	0.08528495214	0.06197913097	0.02330582116	2.513008235	0.0858965853	0.06272284498	0.02317374035	7.633277743
2	1	0.1	0.1	0.16	0	1	0.05	1.16	0.1	1.32	-0.0391960144	-0.02241134644	-0.003337860107	2.514169821	1	0	2.514295356	2.332962248	2.513826409	0.08544701647	0.06216600018	0.02328101621	2.512933792	0.08590779191	0.06272208776	0.02318570418	7.862733445
2	1	0.1	0.1	0.18	0	1	0.05	1.18	0.1	1.36	-0.04434585571	-0.02412796021	-0.002574920654	2.513952041	1	0	2.514295356	2.344544221	2.513584975	0.08553124438	0.06229428951	0.02323695478	2.512930572	0.08593453135	0.0627472136	0.02318731778	7.684504467
2	1	0.1	0.1	0.2	0	1	0.05	1.2	0.1	1.4	-0.04968643188	-0.0262260437	-0.001811981201	2.513791522	1	0	2.514295356	2.355033147	2.513224841	0.08591181469	0.06260327544	0.02330853909	2.512755908	0.08612315125	0.06288845158	0.02323469969	7.66427721
2	1	0.1	0.2	0.02	0	1	0.1	1.02	0.2	1.04	-0.004482269287	-0.03843307495	-0.05044937134	2.530170665	1	0	2.514295356	2.663696935	2.530451971	0.0834812789	0.05661541902	0.02686585988	2.51259615	0.08633333665	0.06306181185	0.02327152482	7.990818923
2	1	0.1	0.2	0.04	0	1	0.1	1.04	0.2	1.08	-0.009059906006	-0.03099441528	-0.03595352173	2.526474304	1	0	2.514295356	2.272404037	2.526462683	0.08349340925	0.05762537121	0.02586803802	2.5125137	0.08633759534	0.06305387907	0.02328371629	7.592971837
2	1	0.1	0.2	0.06	0	1	0.1	1.06	0.2	1.12	-0.01344680786	-0.02756118774	-0.02737045288	2.523767172	1	0	2.514295356	2.287312564	2.523650205	0.08377221905	0.05854210448	0.0252301146	2.512499479	0.08634272497	0.06305508275	0.02328764224	7.608485835
2	1	0.1	0.2	0.08	0	1	0.1	1.08	0.2	1.16	-0.01802444458	-0.02584457397	-0.02164840698	2.521683204	1	0	2.514295356	2.806261538	2.521513019	0.08389606306	0.05919712881	0.02469893426	2.512569098	0.08633395628	0.06305524019	0.02327871611	8.126207325
2	1	0.1	0.2	0.1	0	1	0.1	1.1	0.2	1.2	-0.0226020813	-0.02508163452	-0.01726150513	2.520040566	1	0	2.514295356	2.319607657	2.51963014	0.08425541252	0.05987846558	0.02437694695	2.512457621	0.08641094837	0.06311072639	0.023300222	7.637866373
2	1	0.1	0.2	0.12	0	1	0.1	1.12	0.2	1.24	-0.02737045288	-0.02508163452	-0.01401901245	2.518728291	1	0	2.514295356	2.329002608	2.518491062	0.08420902504	0.06020742212	0.02400160288	2.512719799	0.08621116593	0.06297118264	0.02323998331	7.854535085
2	1	0.1	0.2	0.14	0	1	0.1	1.14	0.2	1.28	-0.03213882446	-0.02565383911	-0.01134872437	2.517672094	1	0	2.514295356	2.343955092	2.517222689	0.08453404482	0.0607006059	0.02383343885	2.512573594	0.08630836547	0.06303039998	0.02327796551	7.665260113
2	1	0.1	0.2	0.16	0	1	0.1	1.16	0.2	1.32	-0.03690719604	-0.02641677856	-0.009250640869	2.51681747	1	0	2.514295356	2.351400153	2.516257702	0.08483860924	0.06115294634	0.02368566291	2.512555889	0.08639123052	0.06311056105	0.0232806695	7.664881508
2	1	0.1	0.2	0.18	0	1	0.1	1.18	0.2	1.36	-0.04186630249	-0.02756118774	-0.0075340271	2.516125638	1	0	2.514295356	2.361214617	2.515776125	0.08486263566	0.06134749357	0.02351514193	2.512814577	0.08621629342	0.06298418602	0.02323210742	7.920364267
2	1	0.1	0.2	0.2	0	1	0.1	1.2	0.2	1.4	-0.04682540894	-0.02870559692	-0.006198883057	2.515565485	1	0	2.514295356	2.368264033	2.514968228	0.08518423177	0.06170279848	0.02348143334	2.51259007	0.08634480966	0.06307082415	0.02327398553	7.681722833
2	1	0.1	0.3	0.02	0	1	0.15	1.02	0.3	1.04	-0.004196166992	-0.05083084106	-0.06799697876	2.540860547	1	0	2.514295356	2.249422752	2.541082471	0.08225752005	0.05324997621	0.02900754386	2.512241502	0.08657966291	0.06323810624	0.0233415567	7.573593163
2	1	0.1	0.3	0.04	0	1	0.15	1.04	0.3	1.08	-0.008487701416	-0.04110336304	-0.05025863647	2.53576371	1	0	2.514295356	2.267959922	2.53597255	0.0820858081	0.05451477197	0.02757103615	2.512465152	0.08643034774	0.06313158267	0.02329876509	7.842297252
2	1	0.1	0.3	0.06	0	1	0.15	1.06	0.3	1.12	-0.01268386841	-0.03614425659	-0.03957748413	2.531874193	1	0	2.514295356	2.298707768	2.532040271	0.08237837228	0.0557813403	0.02659703196	2.512515284	0.08652039332	0.06322279611	0.02329759724	7.621028605
2	1	0.1	0.3	0.08	0	1	0.15	1.08	0.3	1.16	-0.0168800354	-0.03328323364	-0.03213882446	2.528765258	1	0	2.514295356	2.310354977	2.528605271	0.08270972459	0.05681896232	0.02589076223	2.512338184	0.08659207901	0.06326607926	0.02332599977	7.629314678
2	1	0.1	0.3	0.1	0	1	0.15	1.1	0.3	1.2	-0.02126693726	-0.03175735474	-0.02660751343	2.52622143	1	0	2.514295356	2.320700009	2.525736612	0.08281630571	0.05754897143	0.02526733427	2.51218855	0.08657825736	0.06323115116	0.02334710623	7.905715212
